=== 20260727.log ===
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=21.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.794 | contour_area=24.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.793 | contour_area=33.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.793 | contour_area=33.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.793 | contour_area=33.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.793 | contour_area=43.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.793 | contour_area=43.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.790 | contour_area=29.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.789 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.789 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.789 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.789 | contour_area=33.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.788 | contour_area=47.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.788 | contour_area=47.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.788 | contour_area=47.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.787 | contour_area=37.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=42.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=31.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=28.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=42.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.786 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.785 | contour_area=46.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.785 | contour_area=46.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.784 | contour_area=29.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.784 | contour_area=36.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.782 | contour_area=41.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.781 | contour_area=31.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.781 | contour_area=27.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=32.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=20.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=32.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=20.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=20.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=20.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.780 | contour_area=16.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.779 | contour_area=36.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.779 | contour_area=41.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.779 | contour_area=45.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.779 | contour_area=45.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.779 | contour_area=45.500
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.778 | anchor_bbox={'x': 827, 'y': 689, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=35.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=40.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=40.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=40.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=36.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.776 | contour_area=31.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.774 | contour_area=14.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.773 | contour_area=44.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.773 | contour_area=44.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.773 | contour_area=44.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.772 | contour_area=50.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.772 | contour_area=40.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.772 | contour_area=40.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.772 | contour_area=35.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=44.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=11.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.770 | contour_area=22.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.769 | contour_area=39.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.769 | contour_area=39.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.769 | contour_area=39.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.768 | contour_area=46.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.768 | contour_area=35.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.766 | contour_area=43.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.766 | contour_area=43.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.766 | contour_area=43.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.766 | contour_area=19.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.766 | anchor_bbox={'x': 313, 'y': 300, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.765 | contour_area=26.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.765 | contour_area=13.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.764 | contour_area=34.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.763 | contour_area=21.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.763 | contour_area=43.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.763 | contour_area=21.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.762 | contour_area=38.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.761 | contour_area=48.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.761 | contour_area=48.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.761 | contour_area=8.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.761 | contour_area=8.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.761 | contour_area=8.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.760 | contour_area=17.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.760 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.760 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.760 | contour_area=42.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.760 | contour_area=8.500
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.759 | anchor_bbox={'x': 287, 'y': 429, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.759 | contour_area=18.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.759 | contour_area=38.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.757 | contour_area=10.500
